iter	Passed	Remaining
627	2499	1480
628	2502	1476
629	2506	1472
630	2511	1468
631	2515	1464
632	2518	1460
633	2522	1456
634	2526	1452
635	2529	1447
636	2534	1444
637	2538	1440
638	2541	1436
639	2545	1432
640	2549	1427
641	2553	1423
642	2557	1420
643	2561	1416
644	2565	1412
645	2569	1408
646	2573	1404
647	2577	1400
648	2581	1396
649	2585	1392
650	2590	1388
651	2593	1384
652	2598	1380
653	2602	1376
654	2606	1372
655	2609	1368
656	2612	1364
657	2616	1360
658	2620	1356
659	2624	1352
660	2628	1348
661	2632	1344
662	2636	1340
663	2640	1336
664	2644	1332
665	2648	1328
666	2652	1324
667	2657	1320
668	2661	1316
669	2665	1312
670	2669	1308
671	2673	1304
672	2677	1300
673	2681	1297
674	2685	1293
675	2689	1289
676	2693	1285
677	2697	1281
678	2701	1277
679	2705	1273
680	2709	1269
681	2713	1265
682	2716	1260
683	2721	1257
684	2725	1253
685	2728	1249
686	2732	1245
687	2736	1241
688	2740	1237
689	2745	1233
690	2749	1229
691	2753	1225
692	2757	1221
693	2762	1217
694	2765	1213
695	2769	1209
696	2773	1205
697	2776	1201
698	2780	1197
699	2784	1193
700	2788	1189
701	2792	1185
702	2796	1181
703	2800	1177
704	2804	1173
705	2808	1169
706	2812	1165
707	2816	1161
708	2820	1157
709	2824	1153
710	2828	1149
711	2832	1145
712	2836	1141
713	2840	1137
714	2844	1133
715	2848	1129
716	2851	1125
717	2856	1121
718	2860	1117
719	2864	1114
720	2868	1110
721	2872	1105
722	2875	1101
723	2879	1097
724	2883	1093
725	2886	1089
726	2890	1085
727	2894	1081
728	2898	1077
729	2902	1073
730	2906	1069
731	2910	1065
732	2914	1061
733	2918	1057
734	2922	1053
735	2926	1049
736	2930	1045
737	2934	1041
738	2938	1037
739	2942	1033
740	2946	1029
741	2949	1025
742	2953	1021
743	2957	1017
744	2961	1013
745	2965	1009
746	2969	1005
747	2973	1001
748	2978	997
749	2982	994
750	2986	990
751	2990	986
752	2994	982
753	2997	978
754	3001	974
755	3005	970
